timestamp,query_type,zone_id,zone_b,cache_status,cache_key,latency_ms
1780377488.3425074,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.6232261657714844
1780377488.343633,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.6897449493408203
1780377488.3474662,Q1,Z3,,MISS,Q1:zone=Z3:conf=0.5,3.625631332397461
1780377488.3488863,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.5,0.8487701416015625
1780377488.3504596,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,1.0941028594970703
1780377488.3515646,Q2,Z3,,HIT,Q2:zone=Z3:conf=0.7,0.6320476531982422
1780377488.3529341,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.5,0.7545948028564453
1780377488.3541632,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.0,0.7243156433105469
1780377488.355297,Q2,Z3,,HIT,Q2:zone=Z3:conf=0.0,0.6787776947021484
1780377488.356623,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.0,0.8845329284667969
1780377488.3578084,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.7,0.698089599609375
1780377488.3591094,Q3,Z3,,HIT,Q3:zone=Z3:conf=0.0,0.8113384246826172
1780377488.3602874,Q2,Z4,,HIT,Q2:zone=Z4:conf=0.5,0.6973743438720703
1780377488.3613904,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.0,0.6654262542724609
1780377488.3627882,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.5,0.7493495941162109
1780377488.3658893,Q1,Z5,,MISS,Q1:zone=Z5:conf=0.7,2.827882766723633
1780377488.3670354,Q1,Z5,,HIT,Q1:zone=Z5:conf=0.7,0.5815029144287109
1780377488.3681312,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.7,0.6258487701416016
1780377488.3694959,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.5,0.8785724639892578
1780377488.370926,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.7,0.9195804595947266
1780377488.3723238,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.7,0.8485317230224609
1780377488.3734007,Q2,Z4,,HIT,Q2:zone=Z4:conf=0.5,0.640869140625
1780377488.3766115,Q3,Z4,,MISS,Q3:zone=Z4:conf=0.0,2.988100051879883
1780377488.3782008,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.5,0.9090900421142578
1780377488.3797247,Q5,Z1,,HIT,Q5:zone=Z1:bins=10,0.9009838104248047
1780377488.385036,Q4,Z1,Z3,MISS,Q4:zone_a=Z1:zone_b=Z3:conf=0.7,5.0487518310546875
1780377488.3862095,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.5,0.6976127624511719
1780377488.3875225,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.8292198181152344
1780377488.3910992,Q4,Z5,Z1,MISS,Q4:zone_a=Z5:zone_b=Z1:conf=0.5,3.3593177795410156
1780377488.392215,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.5,0.6203651428222656
1780377488.393595,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.5,0.7462501525878906
1780377488.3978457,Q4,Z3,Z5,MISS,Q4:zone_a=Z3:zone_b=Z5:conf=0.0,3.998994827270508
1780377488.39901,Q2,Z5,,HIT,Q2:zone=Z5:conf=0.5,0.5180835723876953
1780377488.400168,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.7331371307373047
1780377488.4013557,Q2,Z2,,HIT,Q2:zone=Z2:conf=0.7,0.6849765777587891
1780377488.4025788,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.7038116455078125
1780377488.4037635,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.0,0.6771087646484375
1780377488.4047346,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.5,0.5071163177490234
1780377488.4058497,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.0,0.6721019744873047
1780377488.4069974,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.6966590881347656
1780377488.4082904,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.0,0.7894039154052734
1780377488.4124138,Q4,Z3,Z1,MISS,Q4:zone_a=Z3:zone_b=Z1:conf=0.5,3.863811492919922
1780377488.4134977,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.5748271942138672
1780377488.4165473,Q4,Z5,Z1,MISS,Q4:zone_a=Z5:zone_b=Z1:conf=0.0,2.8357505798339844
1780377488.420273,Q4,Z1,Z2,MISS,Q4:zone_a=Z1:zone_b=Z2:conf=0.7,3.450155258178711
1780377488.4216526,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.7,0.8344650268554688
1780377488.4230013,Q2,Z2,,HIT,Q2:zone=Z2:conf=0.0,0.8804798126220703
1780377488.4245815,Q3,Z4,,HIT,Q3:zone=Z4:conf=0.7,0.8847713470458984
1780377488.4262505,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.5,1.0669231414794922
1780377488.4276736,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.7958412170410156
1780377488.4293683,Q3,Z5,,HIT,Q3:zone=Z5:conf=0.0,0.9925365447998047
1780377488.430712,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.7686614990234375
1780377488.4323542,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.8094310760498047
1780377488.4336812,Q3,Z4,,HIT,Q3:zone=Z4:conf=0.0,0.7693767547607422
1780377488.4348354,Q2,Z2,,HIT,Q2:zone=Z2:conf=0.7,0.6706714630126953
1780377488.435877,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.5,0.6020069122314453
1780377488.4369686,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.7,0.6327629089355469
1780377488.4385183,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.7,1.016855239868164
1780377488.4410326,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.0,1.2068748474121094
1780377488.4428568,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,1.2278556823730469
